BSc (Hons) Business CommunicationPlymouth University – United Kingdom,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/b-sc-honours-business-communication/
BA in Business Communication UGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/ba-in-business-communication/
Bachelor of Laws (Honours)UGC APPROVED – OFFERED BY NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 Years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-laws-honours-llb-hons/
BM (Honors) in Business AnalyticsUGC APPROVED – OFFERED BY NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 Years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-management-honors-in-business-analytics/
BM (Honors) in Applied EconomicsUGC APPROVED – OFFERED BY NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 Years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-management-honors-in-applied-economics/
BSc (Hons) Operations and Logistics ManagementPlymouth University – United Kingdom,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-operations-and-logistics-management-plymouth/
BSc in Business Management (Industrial Management) (Special)UGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bsc-in-business-management-industrial-management-special-ugc/
BSc in Business Management (Project Management) (Special)UGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bsc-in-business-management-project-management-special-ugc/
BSc in Business Management (Logistics Management) (Special)UGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bsc-in-business-management-logistics-management-special-ugc/
"BBM (Hons) Tourism, Hospitality & EventsUGC Approved - Offered By NSBM",Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bbm-hons-tourism-hospitality-events/
BSc in MultimediaUGC Approved – Offered by NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-science-in-multimedia-bsc-in-multimedia/
"BSc (Hons) Events, Tourism and Hospitality ManagementPlymouth University – United Kingdom",Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-events-tourism-and-hospitality-management-plymouth/
BSc (Hons) Marketing ManagementPlymouth University – United Kingdom,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-marketing-management-plymouth/
BSc (Hons) Accounting and FinancePlymouth University – United Kingdom,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-accounting-and-finance-plymouth/
Bachelor of Business: Double Major in Banking and Finance & Financial Risk ManagementVictoria University - Australia,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,VICTORIA UNIVERSITY,https://www.nsbm.ac.lk/course/bachelor-of-business-banking-and-finance-and-financial-risk-management/
BM (Hons) in Accounting and FinanceUGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-management-in-accounting-and-finance-special/
BSc (Hons) International Management and BusinessPlymouth University – United Kingdom,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-international-management-and-business-plymouth/
BM (Hons) in International BusinessUGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-management-honours-in-international-business-management-special-ugc/
Bachelor of Business: Double Major in Management and Innovation & Supply Chain and Logistics ManagementVictoria University - Australia ,Business,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,VICTORIA UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-in-business-management-innovation-logistic/
BSc in Business Management (Human Resource Management) (Special)UGC Approved – Offered By NSBM,Business,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bsc-in-business-management/
Foundation Programme for Bachelor’s DegreeBusiness / Computing / Science ,Business,"Pitipana - Thalagala Rd, Homagama",Foundation,1 year,Full Time,NSBM,https://www.nsbm.ac.lk/course/foundation-programme-for-bachelors-degree/
