BSc (Honours) in Data Science UGC APPROVED – OFFERED BY NSBM,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,4 Years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bsc-honours-in-data-science/
BSc (Hons) Computer NetworksPlymouth University – United Kingdom,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-in-computer-networks/
BSc (Hons) Computer SecurityPlymouth University – United Kingdom,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-in-computer-security/
Bachelor of Information Technology (Major in Cyber Security)Victoria University - Australia,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,VICTORIA UNIVERSITY,https://www.nsbm.ac.lk/course/bachelor-of-information-technology-nbit-major-in-web-and-mobile-application-development-vu/
BSc (Hons) in Computer NetworksComputer Networks - UGC,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-science-honours-in-computer-networks-bsc-honours-in-computer-networks-ugc/
BSc (Hons) Computer SciencePlymouth University,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,3 Years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-hons-computer-science/
BSc (Hons) Software EngineeringPlymouth University – United Kingdom,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honours-in-software-engineering/
BSc (Hons) in Computer ScienceUGC Approved – Offered by NSBM,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-science-honours-in-computer-science-bsc-honours-in-computer-science-ugc/
BSc (Hons) in Software Engineering UGC Approved – Offered by NSBM,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bachelor-of-science-honours-in-software-engineering-bsc-honours-in-software-engineering-ugc/
"BSc (Hons) Technology Management University of Plymouth, UK",Computing,"Pitipana - Thalagala Rd, Homagama",Degree,3 years,Full Time,PLYMOUTH UNIVERSITY,https://www.nsbm.ac.lk/course/bsc-honors-technology-management/
BSc in Management Information Systems (Special)UGC Approved – Offered by NSBM,Computing,"Pitipana - Thalagala Rd, Homagama",Degree,4 years,Full Time,NSBM,https://www.nsbm.ac.lk/course/bsc-in-management-information-systems-special-ugc/
Foundation Programme for Bachelor’s DegreeBusiness / Computing / Science ,Computing,"Pitipana - Thalagala Rd, Homagama",Foundation,1 year,Full Time,NSBM,https://www.nsbm.ac.lk/course/foundation-programme-for-bachelors-degree/
